Designator,Val,Package,Mid X,Mid Y,Rotation,Layer,,,,
R59,29K4,R_0402_1005Metric,20.055518,51.067537,90,T,,,,
R60,51K,R_0402_1005Metric,20.3,66,0,T,,,,
R61,10K,R_0402_1005Metric,20.3,65,180,T,,,,
R62,10K,R_0402_1005Metric,18.93,50.05,90,T,,,,
R63,51K,R_0402_1005Metric,8.83,49.95,0,T,,,,
R64,51K,R_0402_1005Metric,8.8,64.4,0,T,,,,
R65,10K,R_0402_1005Metric,18.8,64.49,90,T,,,,
R66,51K,R_0402_1005Metric,9.55,24.85,180,T,,,,
R67,29K4,R_0402_1005Metric,13,23.3,90,T,,,,
R68,10K,R_0402_1005Metric,7.1,21.5,-90,T,,,,
R69,2K4,R_0402_1005Metric,72.4,44.1,90,T,,,,
R70,10K,R_0402_1005Metric,11,24.35,90,T,,,,
R71,10K,R_0402_1005Metric,12,23.3,-90,T,,,,
R72,10K,R_0402_1005Metric,7.6,22.9,180,T,,,,
R73,10K,R_0402_1005Metric,73.35,44.1,-90,T,,,,
R74,10K,R_0402_1005Metric,12.5,12.25,-90,T,,,,
R75,10K,R_0402_1005Metric,28.5,12.26,-90,T,,,,
R76,100K,R_0402_1005Metric,12.5,14.2,-90,T,,,,
R77,100K,R_0402_1005Metric,28.5,14.16,-90,T,,,,
R78,330,R_0402_1005Metric,14.46,19.45,180,T,,,,
R79,330,R_0402_1005Metric,30.45,19.5,180,T,,,,
R80,330,R_0402_1005Metric,11.05,13.8,0,T,,,,
R81,330,R_0402_1005Metric,27.1,13.75,0,T,,,,
R82,100K,R_0402_1005Metric,12.6,19.45,0,T,,,,
R83,100K,R_0402_1005Metric,28.55,19.5,0,T,,,,
R84,10K,R_0402_1005Metric,9.15,13.8,0,T,,,,
R85,10K,R_0402_1005Metric,25.2,13.75,0,T,,,,
R86,2K4,R_0402_1005Metric,69.85,38.6,90,T,,,,
R87,2K4,R_0402_1005Metric,78.25,38.25,-90,T,,,,
R88,4K7,R_0402_1005Metric,68.9,38.6,-90,T,,,,
R89,4K7,R_0402_1005Metric,78.262513,36.35,-90,T,,,,
R90,10K,R_0402_1005Metric,16.25,10.35,90,T,,,,
R91,10K,R_0402_1005Metric,32.25,10.35,90,T,,,,
R92,10K,R_0402_1005Metric,15.3,10.35,-90,T,,,,
R93,10K,R_0402_1005Metric,15.9,16.1,-90,T,,,,
R94,10K,R_0402_1005Metric,15.9,18,-90,T,,,,
R95,10K,R_0402_1005Metric,31.3,10.35,-90,T,,,,
R96,10K,R_0402_1005Metric,31.9,16.1,-90,T,,,,
